Price,Close,High,Low,Open,Volume
Ticker,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA
Date,,,,,
2005-08-08,1.7599350214004517,1.8239325975093834,1.7439355510820902,1.787134029392312,2871000
2005-08-09,1.8393995761871338,1.8393995761871338,1.7492694962033637,1.7599359168977717,3805200
2005-08-10,1.8479317426681519,1.8740638946651587,1.7924668733530054,1.8345988003106355,9585000
2005-08-11,1.81273353099823,1.8873973891984757,1.7498023359274348,1.7898008695374263,5715000
2005-08-12,1.8399322032928467,1.8399322032928467,1.7066036810428673,1.7284694830110587,2941200
2005-08-15,1.9193958044052124,1.9300619151619554,1.8585980270817266,1.8873970143881849,7120800
2005-08-16,1.893264651298523,1.9023312484123558,1.8591327376420916,1.877265168957898,2714400
2005-08-17,1.9945931434631348,2.0153923958297075,1.8767308151074018,1.8932634094104714,12162600
2005-08-18,1.9679280519485474,2.031925650149187,1.8985970916910562,1.9625948424740058,3744000
2005-08-19,1.946595311164856,1.989260375416217,1.84793238822916,1.9519285204874288,5425200
2005-08-22,1.927930235862732,1.962595576372014,1.919930494950631,1.9577956402753331,4617000
2005-08-23,1.898597240447998,1.9145967175428875,1.883131343732296,1.883131343732296,1333800
2005-08-24,1.8745982646942139,1.893797546552862,1.8399329328172367,1.867131953595904,4060800
2005-08-25,1.903930902481079,1.9140637442930206,1.8559327649625783,1.8873981462454887,2804400
2005-08-26,1.8660646677017212,1.9199295741825968,1.8345992996805223,1.8660646677017212,3193200
2005-08-29,1.8346000909805298,1.855932783243989,1.815934233196337,1.855932783243989,3270600
2005-08-30,1.8340665102005005,1.855932628570433,1.796734645160996,1.855932628570433,3636000
2005-08-31,1.8607314825057983,1.8825972847948047,1.831932494422785,1.831932494422785,4309200
2005-09-01,1.8340665102005005,1.8767317385893363,1.8340665102005005,1.8665987449397086,1929600
2005-09-02,1.8900638818740845,1.8900638818740843,1.8345994506445096,1.8345994506445096,6568200
2005-09-05,1.8831312656402588,1.9199298478172446,1.8831312656402588,1.9039303713858413,1774800
2005-09-06,1.8745982646942139,1.8985973288719418,1.8676650762529552,1.893264118731153,8479800
2005-09-08,1.8697984218597412,1.8825980963114115,1.8607322845968834,1.8825980963114115,13041000
2005-09-09,1.882064700126648,1.8932642438051484,1.8665986490865913,1.8825981279835966,7621200
2005-09-12,1.927930235862732,1.9279302358627322,1.8665989905915357,1.8665989905915357,6249600
2005-09-13,1.8719321489334106,1.9460626113624044,1.8346001274580308,1.9231303977683882,3205800
2005-09-14,1.893264651298523,1.9119308157508332,1.8660656228688837,1.8735322412321795,4269600
2005-09-15,1.9412623643875122,1.957261689354442,1.9087304392239643,1.9103302649130292,4730400
2005-09-16,1.9721952676773071,1.9727286956654633,1.8932647094916217,1.9519294290162943,3168000
2005-09-19,2.014326572418213,2.0207263329487724,1.920463112805356,1.981260914136833,4091400
2005-09-20,2.114588499069214,2.1588533742800817,1.9999261383426226,1.9999261383426226,7450200
2005-09-21,2.2399165630340576,2.2665821346820394,2.080455645048362,2.1119213003442416,7765200
2005-09-22,2.306581974029541,2.3321810108039003,2.1972524874533663,2.2239183796334325,4797000
2005-09-23,2.3497817516326904,2.3945802460463814,2.3065833887266747,2.3065833887266747,4176000
2005-09-26,2.3156492710113525,2.3892466101165883,2.278317402396853,2.3892466101165883,2827800
2005-09-27,2.2132513523101807,2.3092478663637017,2.192452102512509,2.3092478663637017,3717000
2005-09-28,2.250584602355957,2.3252484807042935,2.229252065685004,2.2399184866028183,3022200
2005-09-29,2.2847166061401367,2.303915887400537,2.207919481098537,2.2932494674513237,1211400
2005-09-30,2.314582347869873,2.3439146237215502,2.2671174922728703,2.2671174922728703,1011600
2005-10-03,2.314582347869873,2.3727136243059737,2.2511180135965603,2.296449462959874,2993400
2005-10-04,2.2665834426879883,2.3359143962126097,2.197252489163367,2.3145817129684136,4906800
2005-10-05,2.2607178688049316,2.3199156993756707,2.207386371695421,2.239918606293751,4267800
2005-10-06,2.1599209308624268,2.2665835911587875,2.1343218923913,2.213252108428302,4320000
2005-10-07,2.186586618423462,2.2393846758008658,2.1455215304998414,2.234584894016278,2237400
2005-10-10,2.2303173542022705,2.2825821121876806,2.1865856054730712,2.1865856054730712,2842200
2005-10-11,2.2932493686676025,2.2932493686676025,2.2292517672230217,2.240984737112354,3585600
2005-10-13,2.2105860710144043,2.23938507198153,2.2031199120089613,2.2031199120089613,4181400
2005-10-14,2.191387414932251,2.213253233260197,2.1492556045571485,2.213253233260197,2829600
2005-10-17,2.1759204864501953,2.2340514477278135,2.1545878010218273,2.204185901743333,1551600
2005-10-18,2.197253704071045,2.218586399110536,2.1599219836446686,2.2079202804643594,2719800
2005-10-19,2.154587745666504,2.207919228993774,2.1364548643397563,2.207919228993774,2790000
2005-10-20,2.0761890411376953,2.2153838208662866,1.9359277119125204,2.1865848483078922,4179600
2005-10-21,2.1065895557403564,2.1839201028421313,2.037258594132713,2.0900566518220085,3155400
2005-10-24,2.1439225673675537,2.170588169979304,1.973795345238802,2.1065905406122427,2943000
2005-10-25,2.1652534008026123,2.2079187615300246,2.1279217060585185,2.143921025603455,2550600
2005-10-26,2.1375203132629395,2.1855185556399914,2.122587550480644,2.122587550480644,3040200
2005-10-27,2.1567201614379883,2.1593866887942426,2.130587705083506,2.1332542324397603,1929600
2005-10-28,2.1332550048828125,2.2292515502903982,2.1332550048828125,2.1599208984299563,1848600
2005-10-31,2.207918882369995,2.2228513474697063,2.1439211429408127,2.175386661286109,2104200
2005-11-01,2.2585835456848145,2.319914757724712,2.2132518068000704,2.2132518068000704,3173400
2005-11-03,2.2399165630340576,2.340179399285018,2.2399165630340576,2.330046262340407,2017800
2005-11-04,2.207918882369995,2.250050360025209,2.158320638126936,2.239917675793445,4422600
2005-11-07,2.3081822395324707,2.3081822395324707,2.216985468934432,2.216985468934432,2509200
2005-11-08,2.3124494552612305,2.3305821916164087,2.256984848006663,2.2932501681346493,1738800
2005-11-09,2.2665834426879883,2.323114877815469,2.2660500149847196,2.3145817129684136,1123200
2005-11-10,2.3631131649017334,2.3631131649017334,2.2212514693151744,2.2879158877114474,2433600
2005-11-11,2.3572463989257812,2.359913232025492,2.3305808144097253,2.346046859532329,2019600
2005-11-14,2.2687172889709473,2.341247754726118,2.2687172889709473,2.340714632083895,3252600
2005-11-16,2.186586618423462,2.261250484003822,2.1785868803942736,2.2559175796215496,7380000
2005-11-17,2.2985830307006836,2.338581577619571,2.1945868697445157,2.2399186274576834,5859000
2005-11-18,2.2399165630340576,2.293247706330021,2.224450220210526,2.293247706330021,1994400
2005-11-21,2.2287180423736572,2.2639166373658477,2.2132516925180594,2.255917053783617,2262600
2005-11-22,2.1871211528778076,2.213253328326029,2.1492556968740915,2.213253328326029,6494400
2005-11-23,2.1812539100646973,2.213252716951524,2.1732541701974037,2.1919203316093196,3924000
2005-11-24,2.1919198036193848,2.23138491298227,2.173787074460157,2.173787074460157,1886400
2005-11-25,2.178586721420288,2.194586196311164,2.1732535122625625,2.1871198865891093,1920600
2005-11-28,2.134322166442871,2.2132523926146845,2.1279224060033464,2.189253329112048,3479400
2005-11-29,2.14872145652771,2.159387570306884,2.1071229414267676,2.1439215222283097,5205600
2005-11-30,2.090590476989746,2.156188219620276,2.079924360970039,2.148188480023154,5509800
2005-12-01,2.141788959503174,2.1599216944551363,2.111923404061884,2.111923404061884,10036800
2005-12-02,2.2772488594055176,2.2772488594055176,2.1556534717977773,2.1556534717977773,7101000
2005-12-05,2.2863166332244873,2.29324951643314,2.2185856432701625,2.2863166332244873,4365000
2005-12-06,2.3225820064544678,2.335381527917556,2.2692505144426014,2.3225820064544678,4689000
2005-12-07,2.282583475112915,2.303916010991048,2.231918664256765,2.282583475112915,2975400
2005-12-08,2.2292513847351074,2.293248975199184,2.216451714060001,2.2292513847351074,1782000
2005-12-09,2.2132513523101807,2.239917237147801,2.1732528302182557,2.2132513523101807,2300400
2005-12-12,2.2495176792144775,2.282049599314726,2.2399179636625677,2.2495176792144775,2372400
2005-12-13,2.2932493686676025,2.2932493686676025,2.2292517672230217,2.2932493686676025,2638800
2005-12-14,2.3460466861724854,2.3465801137859224,2.2745827967811256,2.3460466861724854,4122000
2005-12-15,2.309248208999634,2.3705792649629798,2.282582625369999,2.309248208999634,2205000
2005-12-16,2.2692503929138184,2.3380477789479195,2.245784604821524,2.2692503929138184,1641600
2005-12-19,2.207918882369995,2.269249788661562,2.2031191015020486,2.207918882369995,4680000
2005-12-20,2.226583957672119,2.2393834705973843,2.1919186483117503,2.226583957672119,2259000
2005-12-21,2.2559165954589844,2.279915646494449,2.2265841846210352,2.2559165954589844,4640400
2005-12-22,2.2532525062561035,2.261252250534836,2.22392036487147,2.2532525062561035,1630800
2005-12-23,2.271916627883911,2.293249005740414,2.2559173063459603,2.271916627883911,2210400
2005-12-26,2.265516996383667,2.291649156915521,2.2153854707371123,2.265516996383667,147600
2005-12-27,2.2671167850494385,2.3039153609104237,2.223918297648502,2.2671167850494385,3090600
2005-12-28,2.250584602355957,2.267117509003868,2.2345852761439113,2.250584602355957,1436400
2005-12-29,2.250584602355957,2.267117509003868,2.2351187039974385,2.250584602355957,1296000
2006-01-02,2.1919198036193848,2.2559175545595984,2.1919198036193848,2.1919198036193848,3142800
2006-01-03,2.2399165630340576,2.2505826696274847,2.2079177855071555,2.2399165630340576,5104800
2006-01-04,2.5439062118530273,2.639902736013706,2.255916944535529,2.5439062118530273,16003800
2006-01-05,2.6196372509002686,2.624437185376242,2.4857757175760704,2.6196372509002686,6238800
2006-01-06,2.7225682735443115,2.7465673455457345,2.62923821002238,2.7225682735443115,7043400
2006-01-09,2.826029062271118,2.827095917520375,2.706566908176146,2.7193664246863216,4138200
2006-01-10,2.7412326335906982,2.845229069750482,2.672968836782234,2.7412326335906982,3803400
2006-01-11,2.7732317447662354,2.815363688373451,2.752432639427101,2.752432639427101,2592000
2006-01-12,2.7998974323272705,2.8158969072592037,2.74656595094236,2.7732315390525137,5047200
2006-01-13,2.8265626430511475,2.8265626430511475,2.7732311687867464,2.7732311687867464,2111400
2006-01-16,2.8665621280670166,2.879895077368983,2.8292301141532414,2.8292301141532414,2489400
2006-01-17,2.8478941917419434,2.8665601860531447,2.8158955623259234,2.84362768747551,3996000
2006-01-18,2.8825626373291016,2.932160762624066,2.7945656287218337,2.8212312316997594,6157800
2006-01-19,3.04788875579834,3.0718881249526166,2.9118939581355985,2.9118939581355985,4750200
2006-01-20,3.0132224559783936,3.090552989696403,2.987090298121538,3.039888346672959,3223800
2006-01-23,3.0052237510681152,3.038822380355547,2.9470926294369417,3.0132233375180766,2147400
2006-01-24,2.9865567684173584,3.03455488176448,2.9673573399797726,3.0052227692000306,3985200
2006-01-25,2.9865567684173584,2.9865567684173584,2.9865567684173584,2.9865567684173584,0
2006-01-26,2.9385600090026855,3.0340228520262245,2.9332266454899036,3.0025576246737384,4251600
2006-01-27,2.8297629356384277,3.0132227040730637,2.751899273000923,2.96255805687813,5002200
2006-01-30,2.8132307529449463,2.8505627684102834,2.762566092788186,2.8457631383872415,5637600
2006-01-31,2.855896234512329,2.9545590294480117,2.847896342244107,2.847896342244107,7540200
2006-02-01,3.045222043991089,3.081487504286689,2.85322893328555,2.855362339262767,6541200
2006-02-02,3.199347734451294,3.397206902414708,3.0942851079765856,3.1172173007479036,16486200
2006-02-03,3.093217611312866,3.2900101887018427,3.0292200623852787,3.1625485181910413,10211400
2006-02-06,3.1118855476379395,3.1278847144346944,3.0025560768728408,3.0942860979640545,7228800
2006-02-07,3.0137569904327393,3.1145531909877633,2.9465594216744955,3.1145531909877633,3065400
2006-02-08,2.954559326171875,3.0926878632833357,2.954559326171875,3.02389030869078,2289600
2006-02-09,3.019089460372925,3.040421686187822,2.8638949541869545,2.83242943284663,2781000
2006-02-10,3.066554546356201,3.0926870146113012,3.003090372948345,3.061221184050407,4687200
2006-02-13,3.010556697845459,3.226548880852344,3.0052236404085275,3.087353823530016,3308400
2006-02-14,3.1988155841827393,3.1988155841827393,3.040421440046307,3.040421440046307,3675600
2006-02-15,3.179616928100586,3.2633473927868524,3.111353123065218,3.199349789474341,10206000
2006-02-16,3.2265493869781494,3.343345072089901,3.1972169561445556,3.2852139434806396,6899400
2006-02-17,3.25321364402771,3.306545120297935,3.1982824950658477,3.25321364402771,4158000
2006-02-20,3.093217611312866,3.1838810345002373,3.077218147789873,3.1838810345002373,6942600
2006-02-21,2.9332258701324463,3.1145525525182616,2.894294188284877,3.1092194955799024,6834600
2006-02-22,2.8798937797546387,3.0105554644150185,2.8798937797546387,2.9465578858978207,4298400
2006-02-23,2.8692286014556885,2.9385595702887155,2.8494960443820188,2.9332262075721816,5000400
2006-02-24,2.9097628593444824,2.9225623906327245,2.853764795521586,2.8782973067819415,2595600
2006-02-27,2.9097628593444824,2.9097628593444824,2.9097628593444824,2.9097628593444824,0
2006-02-28,2.9097628593444824,2.9097628593444824,2.9097628593444824,2.9097628593444824,0
2006-03-01,2.995623826980591,3.0121567325755167,2.9598920973516005,2.9598920973516005,3508200
2006-03-02,2.9614920616149902,3.0212228550417257,2.9614920616149902,2.995623812788273,4231800
2006-03-03,2.9870898723602295,2.9881564223899124,2.8942933061581813,2.965223918346821,2818800
2006-03-06,2.9332258701324463,2.9892238834790854,2.8990941226281737,2.986557355009906,3337200
2006-03-07,2.8852269649505615,2.9625574902449947,2.866560965563473,2.9065594920837285,5943600
2006-03-08,2.927891969680786,2.927891969680786,2.831895751787935,2.858561333962112,4669200
2006-03-09,2.8798937797546387,2.974823444930684,2.8265623117413776,2.974823444930684,3144600
2006-03-10,2.996690273284912,3.005223286244251,2.8478956690785573,2.9118935714382133,3450600
2006-03-13,3.061221122741699,3.090553546759893,2.9758912946981773,2.9758912946981773,5187600
